"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.104,0.154]",96,0.104,0.154,0.129,0.05,1.19062383728141,"(0,50]",0,50,25
"(0.154,0.204]",48,0.154,0.204,0.179,0.05,0.595311918640705,"(0,50]",0,50,25
"(0.204,0.254]",96,0.204,0.254,0.229,0.05,1.19062383728141,"(0,50]",0,50,25
"(0.254,0.304]",144,0.254,0.304,0.279,0.05,1.78593575592211,"(0,50]",0,50,25
"(0.304,0.354]",144,0.304,0.354,0.329,0.05,1.78593575592211,"(0,50]",0,50,25
"(0.354,0.404]",192,0.354,0.404,0.379,0.05,2.38124767456282,"(0,50]",0,50,25
"(0.404,0.454]",176,0.404,0.454,0.429,0.05,2.18281036834925,"(0,50]",0,50,25
"(0.454,0.504]",150,0.454,0.504,0.479,0.05,1.8603497457522,"(0,50]",0,50,25
"(0.504,0.554]",148,0.504,0.554,0.529,0.05,1.8355450824755,"(0,50]",0,50,25
"(0.554,0.604]",85,0.554,0.604,0.579,0.0499999999999999,1.05419818925958,"(0,50]",0,50,25
"(0.604,0.654]",70,0.604,0.654,0.629,0.05,0.86816321468436,"(0,50]",0,50,25
"(0.654,0.704]",41,0.654,0.704,0.679,0.0499999999999999,0.508495597172269,"(0,50]",0,50,25
"(0.704,0.754]",34,0.704,0.754,0.729,0.05,0.421679275703832,"(0,50]",0,50,25
"(0.754,0.804]",22,0.754,0.804,0.779,0.05,0.272851296043656,"(0,50]",0,50,25
"(0.804,0.854]",15,0.804,0.854,0.829,0.0499999999999999,0.18603497457522,"(0,50]",0,50,25
"(0.854,0.904]",12,0.854,0.904,0.879,0.05,0.148827979660176,"(0,50]",0,50,25
"(0.904,0.954]",7,0.904,0.954,0.929,0.0499999999999999,0.0868163214684362,"(0,50]",0,50,25
"(0.954,1]",4,0.954,1,0.977,0.046,0.0539231810362956,"(0,50]",0,50,25
"(1,1.05]",7,1,1.05,1.025,0.05,0.086816321468436,"(0,50]",0,50,25
"(1.05,1.1]",2,1.05,1.1,1.075,0.05,0.024804663276696,"(0,50]",0,50,25
"(1.15,1.2]",3,1.15,1.2,1.175,0.05,0.037206994915044,"(0,50]",0,50,25
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.012402331638348,"(0,50]",0,50,25
"(1.3,1.35]",1,1.3,1.35,1.325,0.05,0.012402331638348,"(0,50]",0,50,25
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0124023316383481,"(0,50]",0,50,25
"(1.4,1.45]",2,1.4,1.45,1.425,0.05,0.024804663276696,"(0,50]",0,50,25
"(1.5,1.55]",2,1.5,1.55,1.525,0.05,0.024804663276696,"(0,50]",0,50,25
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.012402331638348,"(0,50]",0,50,25
"(1.6,1.65]",2,1.6,1.65,1.625,0.0499999999999998,0.0248046632766961,"(0,50]",0,50,25
"(1.65,1.7]",1,1.65,1.7,1.675,0.05,0.012402331638348,"(0,50]",0,50,25
"(1.75,1.8]",1,1.75,1.8,1.775,0.05,0.012402331638348,"(0,50]",0,50,25
"(1.8,1.85]",1,1.8,1.85,1.825,0.05,0.012402331638348,"(0,50]",0,50,25
"(1.85,1.9]",3,1.85,1.9,1.875,0.0499999999999998,0.0372069949150442,"(0,50]",0,50,25
"(1.9,1.95]",1,1.9,1.95,1.925,0.05,0.012402331638348,"(0,50]",0,50,25
"(2.05,2.1]",1,2.05,2.1,2.075,0.0500000000000003,0.0124023316383479,"(0,50]",0,50,25
"(2.3,2.35]",2,2.3,2.35,2.325,0.0500000000000003,0.0248046632766959,"(0,50]",0,50,25
"(4.1,4.15]",1,4.1,4.15,4.125,0.0500000000000007,0.0124023316383478,"(0,50]",0,50,25
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.29684865776164,"(50,100]",50,100,75
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.64842432888082,"(50,100]",50,100,75
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.29684865776164,"(50,100]",50,100,75
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.94527298664246,"(50,100]",50,100,75
"(0.304,0.354]",150,0.304,0.354,0.329,0.05,1.94527298664246,"(50,100]",50,100,75
"(0.354,0.404]",199,0.354,0.404,0.379,0.05,2.58072882894566,"(50,100]",50,100,75
"(0.404,0.454]",186,0.404,0.454,0.429,0.05,2.41213850343665,"(50,100]",50,100,75
"(0.454,0.504]",176,0.454,0.504,0.479,0.05,2.28245363766049,"(50,100]",50,100,75
"(0.504,0.554]",183,0.504,0.554,0.529,0.05,2.3732330437038,"(50,100]",50,100,75
"(0.554,0.604]",143,0.554,0.604,0.579,0.0499999999999999,1.85449358059915,"(50,100]",50,100,75
"(0.604,0.654]",132,0.604,0.654,0.629,0.05,1.71184022824536,"(50,100]",50,100,75
