"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.654,0.704]",83,0.654,0.704,0.679,0.0499999999999999,1.07638438594216,"(50,100]",50,100,75
"(0.704,0.754]",69,0.704,0.754,0.729,0.05,0.89482557385553,"(50,100]",50,100,75
"(0.754,0.804]",46,0.754,0.804,0.779,0.05,0.596550382570353,"(50,100]",50,100,75
"(0.804,0.854]",37,0.804,0.854,0.829,0.0499999999999999,0.479834003371807,"(50,100]",50,100,75
"(0.854,0.904]",27,0.854,0.904,0.879,0.05,0.350149137595642,"(50,100]",50,100,75
"(0.904,0.954]",15,0.904,0.954,0.929,0.0499999999999999,0.194527298664246,"(50,100]",50,100,75
"(0.954,1]",14,0.954,1,0.977,0.046,0.197346534876771,"(50,100]",50,100,75
"(1,1.05]",9,1,1.05,1.025,0.05,0.116716379198547,"(50,100]",50,100,75
"(1.05,1.1]",4,1.05,1.1,1.075,0.05,0.0518739463104655,"(50,100]",50,100,75
"(1.1,1.15]",6,1.1,1.15,1.125,0.0499999999999998,0.0778109194656986,"(50,100]",50,100,75
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0129684865776164,"(50,100]",50,100,75
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0129684865776164,"(50,100]",50,100,75
"(1.25,1.3]",2,1.25,1.3,1.275,0.05,0.0259369731552328,"(50,100]",50,100,75
"(1.3,1.35]",2,1.3,1.35,1.325,0.05,0.0259369731552328,"(50,100]",50,100,75
"(1.35,1.4]",4,1.35,1.4,1.375,0.0499999999999998,0.0518739463104658,"(50,100]",50,100,75
"(1.4,1.45]",2,1.4,1.45,1.425,0.05,0.0259369731552328,"(50,100]",50,100,75
"(1.5,1.55]",2,1.5,1.55,1.525,0.05,0.0259369731552328,"(50,100]",50,100,75
"(1.7,1.75]",1,1.7,1.75,1.725,0.05,0.0129684865776164,"(50,100]",50,100,75
"(1.8,1.85]",1,1.8,1.85,1.825,0.05,0.0129684865776164,"(50,100]",50,100,75
"(1.85,1.9]",1,1.85,1.9,1.875,0.0499999999999998,0.0129684865776164,"(50,100]",50,100,75
"(1.9,1.95]",1,1.9,1.95,1.925,0.05,0.0129684865776164,"(50,100]",50,100,75
"(1.95,2]",1,1.95,2,1.975,0.05,0.0129684865776164,"(50,100]",50,100,75
"(2.05,2.1]",1,2.05,2.1,2.075,0.0500000000000003,0.0129684865776163,"(50,100]",50,100,75
"(2.15,2.2]",1,2.15,2.2,2.175,0.0500000000000003,0.0129684865776163,"(50,100]",50,100,75
"(2.2,2.25]",1,2.2,2.25,2.225,0.0499999999999998,0.0129684865776164,"(50,100]",50,100,75
"(2.4,2.45]",2,2.4,2.45,2.425,0.0500000000000003,0.0259369731552326,"(50,100]",50,100,75
"(3,3.05]",1,3,3.05,3.025,0.0499999999999998,0.0129684865776164,"(50,100]",50,100,75
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.43389733295096,"(100,150]",100,150,125
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.71694866647548,"(100,150]",100,150,125
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.43389733295096,"(100,150]",100,150,125
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,2.15084599942644,"(100,150]",100,150,125
"(0.304,0.354]",150,0.304,0.354,0.329,0.05,2.15084599942644,"(100,150]",100,150,125
"(0.354,0.404]",195,0.354,0.404,0.379,0.05,2.79609979925437,"(100,150]",100,150,125
"(0.404,0.454]",179,0.404,0.454,0.429,0.05,2.56667622598222,"(100,150]",100,150,125
"(0.454,0.504]",156,0.454,0.504,0.479,0.05,2.2368798394035,"(100,150]",100,150,125
"(0.504,0.554]",154,0.504,0.554,0.529,0.05,2.20820189274448,"(100,150]",100,150,125
"(0.554,0.604]",117,0.554,0.604,0.579,0.0499999999999999,1.67765987955263,"(100,150]",100,150,125
"(0.604,0.654]",96,0.604,0.654,0.629,0.05,1.37654143963292,"(100,150]",100,150,125
"(0.654,0.704]",68,0.654,0.704,0.679,0.0499999999999999,0.975050186406654,"(100,150]",100,150,125
"(0.704,0.754]",56,0.704,0.754,0.729,0.05,0.802982506452537,"(100,150]",100,150,125
"(0.754,0.804]",32,0.754,0.804,0.779,0.05,0.458847146544307,"(100,150]",100,150,125
"(0.804,0.854]",28,0.804,0.854,0.829,0.0499999999999999,0.401491253226269,"(100,150]",100,150,125
"(0.854,0.904]",13,0.854,0.904,0.879,0.05,0.186406653283625,"(100,150]",100,150,125
"(0.904,0.954]",10,0.904,0.954,0.929,0.0499999999999999,0.143389733295096,"(100,150]",100,150,125
"(0.954,1]",6,0.954,1,0.977,0.046,0.0935150434533234,"(100,150]",100,150,125
"(1,1.05]",3,1,1.05,1.025,0.05,0.0430169199885288,"(100,150]",100,150,125
"(1.05,1.1]",2,1.05,1.1,1.075,0.05,0.0286779466590192,"(100,150]",100,150,125
"(1.1,1.15]",1,1.1,1.15,1.125,0.0499999999999998,0.0143389733295097,"(100,150]",100,150,125
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0143389733295096,"(100,150]",100,150,125
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0143389733295096,"(100,150]",100,150,125
"(1.35,1.4]",2,1.35,1.4,1.375,0.0499999999999998,0.0286779466590193,"(100,150]",100,150,125
"(1.45,1.5]",1,1.45,1.5,1.475,0.05,0.0143389733295096,"(100,150]",100,150,125
"(1.5,1.55]",1,1.5,1.55,1.525,0.05,0.0143389733295096,"(100,150]",100,150,125
"(1.6,1.65]",1,1.6,1.65,1.625,0.0499999999999998,0.0143389733295097,"(100,150]",100,150,125
"(1.65,1.7]",1,1.65,1.7,1.675,0.05,0.0143389733295096,"(100,150]",100,150,125
"(1.8,1.85]",1,1.8,1.85,1.825,0.05,0.0143389733295096,"(100,150]",100,150,125
"(2.35,2.4]",1,2.35,2.4,2.375,0.0499999999999998,0.0143389733295097,"(100,150]",100,150,125
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.19774823332136,"(150,200]",150,200,175
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.598874116660678,"(150,200]",150,200,175
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.19774823332136,"(150,200]",150,200,175
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.79662234998203,"(150,200]",150,200,175
"(0.304,0.354]",148,0.304,0.354,0.329,0.05,1.77266738531561,"(150,200]",150,200,175
"(0.354,0.404]",185,0.354,0.404,0.379,0.05,2.21583423164451,"(150,200]",150,200,175
"(0.404,0.454]",152,0.404,0.454,0.429,0.05,1.82057731464846,"(150,200]",150,200,175
"(0.454,0.504]",135,0.454,0.504,0.479,0.05,1.61696011498383,"(150,200]",150,200,175
"(0.504,0.554]",102,0.504,0.554,0.529,0.05,1.22170319798778,"(150,200]",150,200,175
"(0.554,0.604]",79,0.554,0.604,0.579,0.0499999999999999,0.946221104323872,"(150,200]",150,200,175
"(0.604,0.654]",64,0.604,0.654,0.629,0.05,0.766558869325667,"(150,200]",150,200,175
"(0.654,0.704]",55,0.654,0.704,0.679,0.0499999999999999,0.658761528326747,"(150,200]",150,200,175
"(0.704,0.754]",45,0.704,0.754,0.729,0.05,0.53898670499461,"(150,200]",150,200,175
"(0.754,0.804]",22,0.754,0.804,0.779,0.05,0.263504611330698,"(150,200]",150,200,175
"(0.804,0.854]",20,0.804,0.854,0.829,0.0499999999999999,0.239549646664271,"(150,200]",150,200,175
"(0.854,0.904]",17,0.854,0.904,0.879,0.05,0.20361719966463,"(150,200]",150,200,175
"(0.904,0.954]",12,0.904,0.954,0.929,0.0499999999999999,0.143729787998563,"(150,200]",150,200,175
"(0.954,1]",3,0.954,1,0.977,0.046,0.039057007608305,"(150,200]",150,200,175
"(1,1.05]",2,1,1.05,1.025,0.05,0.0239549646664271,"(150,200]",150,200,175
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0119774823332135,"(150,200]",150,200,175
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0119774823332135,"(150,200]",150,200,175
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0119774823332136,"(150,200]",150,200,175
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.10192837465565,"(200,250]",200,250,225
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.550964187327824,"(200,250]",200,250,225
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.10192837465565,"(200,250]",200,250,225
"(0.254,0.304]",149,0.254,0.304,0.279,0.05,1.64187327823691,"(200,250]",200,250,225
"(0.304,0.354]",146,0.304,0.354,0.329,0.05,1.60881542699725,"(200,250]",200,250,225
"(0.354,0.404]",183,0.354,0.404,0.379,0.05,2.01652892561983,"(200,250]",200,250,225
"(0.404,0.454]",147,0.404,0.454,0.429,0.05,1.6198347107438,"(200,250]",200,250,225
"(0.454,0.504]",111,0.454,0.504,0.479,0.05,1.22314049586777,"(200,250]",200,250,225
"(0.504,0.554]",111,0.504,0.554,0.529,0.05,1.22314049586777,"(200,250]",200,250,225
"(0.554,0.604]",97,0.554,0.604,0.579,0.0499999999999999,1.06887052341598,"(200,250]",200,250,225
"(0.604,0.654]",65,0.604,0.654,0.629,0.05,0.71625344352617,"(200,250]",200,250,225
"(0.654,0.704]",51,0.654,0.704,0.679,0.0499999999999999,0.561983471074381,"(200,250]",200,250,225
"(0.704,0.754]",34,0.704,0.754,0.729,0.05,0.37465564738292,"(200,250]",200,250,225
"(0.754,0.804]",31,0.754,0.804,0.779,0.05,0.34159779614325,"(200,250]",200,250,225
"(0.804,0.854]",37,0.804,0.854,0.829,0.0499999999999999,0.40771349862259,"(200,250]",200,250,225
"(0.854,0.904]",26,0.854,0.904,0.879,0.05,0.286501377410468,"(200,250]",200,250,225
"(0.904,0.954]",18,0.904,0.954,0.929,0.0499999999999999,0.198347107438017,"(200,250]",200,250,225
"(0.954,1]",29,0.954,1,0.977,0.046,0.347346987663193,"(200,250]",200,250,225
"(1,1.05]",9,1,1.05,1.025,0.05,0.0991735537190082,"(200,250]",200,250,225
"(1.05,1.1]",9,1.05,1.1,1.075,0.05,0.0991735537190082,"(200,250]",200,250,225
"(1.1,1.15]",6,1.1,1.15,1.125,0.0499999999999998,0.0661157024793391,"(200,250]",200,250,225
"(1.15,1.2]",4,1.15,1.2,1.175,0.05,0.0440771349862259,"(200,250]",200,250,225
"(1.2,1.25]",2,1.2,1.25,1.225,0.05,0.0220385674931129,"(200,250]",200,250,225
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0110192837465565,"(200,250]",200,250,225
"(1.3,1.35]",2,1.3,1.35,1.325,0.05,0.0220385674931129,"(200,250]",200,250,225
"(1.35,1.4]",3,1.35,1.4,1.375,0.0499999999999998,0.0330578512396695,"(200,250]",200,250,225
"(1.4,1.45]",2,1.4,1.45,1.425,0.05,0.0220385674931129,"(200,250]",200,250,225
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0110192837465565,"(200,250]",200,250,225
"(1.8,1.85]",1,1.8,1.85,1.825,0.05,0.0110192837465565,"(200,250]",200,250,225
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.13211819313936,"(250,300]",250,300,275
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.566059096569682,"(250,300]",250,300,275
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.13211819313936,"(250,300]",250,300,275
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.69817728970905,"(250,300]",250,300,275
"(0.304,0.354]",143,0.304,0.354,0.329,0.05,1.61892901618929,"(250,300]",250,300,275
"(0.354,0.404]",157,0.354,0.404,0.379,0.05,1.7774255632288,"(250,300]",250,300,275
"(0.404,0.454]",120,0.404,0.454,0.429,0.05,1.35854183176724,"(250,300]",250,300,275
"(0.454,0.504]",79,0.454,0.504,0.479,0.05,0.894373372580098,"(250,300]",250,300,275
"(0.504,0.554]",78,0.504,0.554,0.529,0.05,0.883052190648703,"(250,300]",250,300,275
"(0.554,0.604]",43,0.554,0.604,0.579,0.0499999999999999,0.486810823049927,"(250,300]",250,300,275
"(0.604,0.654]",44,0.604,0.654,0.629,0.05,0.49813200498132,"(250,300]",250,300,275
"(0.654,0.704]",30,0.654,0.704,0.679,0.0499999999999999,0.33963545794181,"(250,300]",250,300,275
"(0.704,0.754]",24,0.704,0.754,0.729,0.05,0.271708366353447,"(250,300]",250,300,275
"(0.754,0.804]",13,0.754,0.804,0.779,0.05,0.147175365108117,"(250,300]",250,300,275
"(0.804,0.854]",15,0.804,0.854,0.829,0.0499999999999999,0.169817728970905,"(250,300]",250,300,275
"(0.854,0.904]",13,0.854,0.904,0.879,0.05,0.147175365108117,"(250,300]",250,300,275
"(0.904,0.954]",16,0.904,0.954,0.929,0.0499999999999999,0.181138910902298,"(250,300]",250,300,275
"(0.954,1]",4,0.954,1,0.977,0.046,0.049222530136494,"(250,300]",250,300,275
"(1,1.05]",5,1,1.05,1.025,0.05,0.0566059096569681,"(250,300]",250,300,275
"(1.05,1.1]",5,1.05,1.1,1.075,0.05,0.0566059096569681,"(250,300]",250,300,275
"(1.1,1.15]",3,1.1,1.15,1.125,0.0499999999999998,0.033963545794181,"(250,300]",250,300,275
"(1.15,1.2]",3,1.15,1.2,1.175,0.05,0.0339635457941809,"(250,300]",250,300,275
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0113211819313936,"(250,300]",250,300,275
"(1.25,1.3]",2,1.25,1.3,1.275,0.05,0.0226423638627873,"(250,300]",250,300,275
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0113211819313937,"(250,300]",250,300,275
"(1.4,1.45]",3,1.4,1.45,1.425,0.05,0.0339635457941809,"(250,300]",250,300,275
"(1.45,1.5]",2,1.45,1.5,1.475,0.05,0.0226423638627873,"(250,300]",250,300,275
"(1.5,1.55]",1,1.5,1.55,1.525,0.05,0.0113211819313936,"(250,300]",250,300,275
"(1.6,1.65]",1,1.6,1.65,1.625,0.0499999999999998,0.0113211819313937,"(250,300]",250,300,275
"(1.8,1.85]",1,1.8,1.85,1.825,0.05,0.0113211819313936,"(250,300]",250,300,275
"(2,2.05]",1,2,2.05,2.025,0.0499999999999998,0.0113211819313937,"(250,300]",250,300,275
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.16550116550117,"(300,350]",300,350,325
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.582750582750583,"(300,350]",300,350,325
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.16550116550116,"(300,350]",300,350,325
"(0.254,0.304]",149,0.254,0.304,0.279,0.05,1.73659673659674,"(300,350]",300,350,325
"(0.304,0.354]",144,0.304,0.354,0.329,0.05,1.67832167832168,"(300,350]",300,350,325
"(0.354,0.404]",159,0.354,0.404,0.379,0.05,1.85314685314685,"(300,350]",300,350,325
"(0.404,0.454]",113,0.404,0.454,0.429,0.05,1.31701631701632,"(300,350]",300,350,325
"(0.454,0.504]",70,0.454,0.504,0.479,0.05,0.815850815850816,"(300,350]",300,350,325
"(0.504,0.554]",54,0.504,0.554,0.529,0.05,0.629370629370629,"(300,350]",300,350,325
"(0.554,0.604]",51,0.554,0.604,0.579,0.0499999999999999,0.594405594405595,"(300,350]",300,350,325
"(0.604,0.654]",51,0.604,0.654,0.629,0.05,0.594405594405594,"(300,350]",300,350,325
"(0.654,0.704]",27,0.654,0.704,0.679,0.0499999999999999,0.314685314685315,"(300,350]",300,350,325
"(0.704,0.754]",24,0.704,0.754,0.729,0.05,0.279720279720279,"(300,350]",300,350,325
"(0.754,0.804]",15,0.754,0.804,0.779,0.05,0.174825174825175,"(300,350]",300,350,325
"(0.804,0.854]",17,0.804,0.854,0.829,0.0499999999999999,0.198135198135198,"(300,350]",300,350,325
"(0.854,0.904]",12,0.854,0.904,0.879,0.05,0.13986013986014,"(300,350]",300,350,325
"(0.904,0.954]",11,0.904,0.954,0.929,0.0499999999999999,0.128205128205128,"(300,350]",300,350,325
"(0.954,1]",6,0.954,1,0.977,0.046,0.0760109455761629,"(300,350]",300,350,325
"(1,1.05]",8,1,1.05,1.025,0.05,0.0932400932400931,"(300,350]",300,350,325
"(1.05,1.1]",4,1.05,1.1,1.075,0.05,0.0466200466200466,"(300,350]",300,350,325
"(1.1,1.15]",7,1.1,1.15,1.125,0.0499999999999998,0.0815850815850819,"(300,350]",300,350,325
"(1.15,1.2]",2,1.15,1.2,1.175,0.05,0.0233100233100233,"(300,350]",300,350,325
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0116550116550116,"(300,350]",300,350,325
"(1.3,1.35]",1,1.3,1.35,1.325,0.05,0.0116550116550116,"(300,350]",300,350,325
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0116550116550117,"(300,350]",300,350,325
"(1.4,1.45]",1,1.4,1.45,1.425,0.05,0.0116550116550116,"(300,350]",300,350,325
"(2.15,2.2]",1,2.15,2.2,2.175,0.0500000000000003,0.0116550116550116,"(300,350]",300,350,325
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.09595046303907,"(350,400]",350,400,375
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.547975231519535,"(350,400]",350,400,375
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.09595046303907,"(350,400]",350,400,375
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.64392569455861,"(350,400]",350,400,375
"(0.304,0.354]",145,0.304,0.354,0.329,0.05,1.58912817140665,"(350,400]",350,400,375
"(0.354,0.404]",171,0.354,0.404,0.379,0.05,1.87407529179681,"(350,400]",350,400,375
"(0.404,0.454]",118,0.404,0.454,0.429,0.05,1.2932215463861,"(350,400]",350,400,375
"(0.454,0.504]",84,0.454,0.504,0.479,0.05,0.920598388952819,"(350,400]",350,400,375
"(0.504,0.554]",80,0.504,0.554,0.529,0.05,0.876760370431256,"(350,400]",350,400,375
"(0.554,0.604]",53,0.554,0.604,0.579,0.0499999999999999,0.580853745410708,"(350,400]",350,400,375
"(0.604,0.654]",25,0.604,0.654,0.629,0.05,0.273987615759767,"(350,400]",350,400,375
"(0.654,0.704]",24,0.654,0.704,0.679,0.0499999999999999,0.263028111129377,"(350,400]",350,400,375
"(0.704,0.754]",26,0.704,0.754,0.729,0.05,0.284947120390158,"(350,400]",350,400,375
"(0.754,0.804]",16,0.754,0.804,0.779,0.05,0.175352074086251,"(350,400]",350,400,375
"(0.804,0.854]",9,0.804,0.854,0.829,0.0499999999999999,0.0986355416735165,"(350,400]",350,400,375
"(0.854,0.904]",10,0.854,0.904,0.879,0.05,0.109595046303907,"(350,400]",350,400,375
"(0.904,0.954]",5,0.904,0.954,0.929,0.0499999999999999,0.0547975231519536,"(350,400]",350,400,375
"(0.954,1]",6,0.954,1,0.977,0.046,0.0714750301982002,"(350,400]",350,400,375
"(1,1.05]",6,1,1.05,1.025,0.05,0.0657570277823442,"(350,400]",350,400,375
"(1.05,1.1]",4,1.05,1.1,1.075,0.05,0.0438380185215628,"(350,400]",350,400,375
"(1.1,1.15]",2,1.1,1.15,1.125,0.0499999999999998,0.0219190092607815,"(350,400]",350,400,375
"(1.15,1.2]",3,1.15,1.2,1.175,0.05,0.0328785138911721,"(350,400]",350,400,375
"(1.2,1.25]",5,1.2,1.25,1.225,0.05,0.0547975231519535,"(350,400]",350,400,375
"(1.25,1.3]",2,1.25,1.3,1.275,0.05,0.0219190092607814,"(350,400]",350,400,375
"(1.3,1.35]",3,1.3,1.35,1.325,0.05,0.0328785138911721,"(350,400]",350,400,375
"(1.35,1.4]",3,1.35,1.4,1.375,0.0499999999999998,0.0328785138911722,"(350,400]",350,400,375
"(1.4,1.45]",2,1.4,1.45,1.425,0.05,0.0219190092607814,"(350,400]",350,400,375
"(1.65,1.7]",2,1.65,1.7,1.675,0.05,0.0219190092607814,"(350,400]",350,400,375
"(1.75,1.8]",1,1.75,1.8,1.775,0.05,0.0109595046303907,"(350,400]",350,400,375
"(1.8,1.85]",1,1.8,1.85,1.825,0.05,0.0109595046303907,"(350,400]",350,400,375
"(2.6,2.65]",1,2.6,2.65,2.625,0.0499999999999998,0.0109595046303907,"(350,400]",350,400,375
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.35786543553534,"(400,450]",400,450,425
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.678932717767669,"(400,450]",400,450,425
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.35786543553534,"(400,450]",400,450,425
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,2.03679815330301,"(400,450]",400,450,425
"(0.304,0.354]",142,0.304,0.354,0.329,0.05,1.92816891846018,"(400,450]",400,450,425
"(0.354,0.404]",159,0.354,0.404,0.379,0.05,2.15900604250119,"(400,450]",400,450,425
"(0.404,0.454]",107,0.404,0.454,0.429,0.05,1.45291601602281,"(400,450]",400,450,425
"(0.454,0.504]",62,0.454,0.504,0.479,0.05,0.84187657003191,"(400,450]",400,450,425
"(0.504,0.554]",55,0.504,0.554,0.529,0.05,0.746825989544435,"(400,450]",400,450,425
"(0.554,0.604]",33,0.554,0.604,0.579,0.0499999999999999,0.448095593726662,"(400,450]",400,450,425
"(0.604,0.654]",27,0.604,0.654,0.629,0.05,0.366623667594541,"(400,450]",400,450,425
"(0.654,0.704]",15,0.654,0.704,0.679,0.0499999999999999,0.203679815330301,"(400,450]",400,450,425
"(0.704,0.754]",9,0.704,0.754,0.729,0.05,0.12220788919818,"(400,450]",400,450,425
"(0.754,0.804]",10,0.754,0.804,0.779,0.05,0.135786543553534,"(400,450]",400,450,425
"(0.804,0.854]",2,0.804,0.854,0.829,0.0499999999999999,0.0271573087107068,"(400,450]",400,450,425
"(0.854,0.904]",6,0.854,0.904,0.879,0.05,0.0814719261321202,"(400,450]",400,450,425
"(0.904,0.954]",5,0.904,0.954,0.929,0.0499999999999999,0.067893271776767,"(400,450]",400,450,425
"(1,1.05]",4,1,1.05,1.025,0.05,0.0543146174214135,"(400,450]",400,450,425
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0135786543553534,"(400,450]",400,450,425
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0135786543553534,"(400,450]",400,450,425
"(1.25,1.3]",2,1.25,1.3,1.275,0.05,0.0271573087107067,"(400,450]",400,450,425
"(1.3,1.35]",3,1.3,1.35,1.325,0.05,0.0407359630660601,"(400,450]",400,450,425
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0135786543553534,"(400,450]",400,450,425
"(1.4,1.45]",2,1.4,1.45,1.425,0.05,0.0271573087107067,"(400,450]",400,450,425
"(1.5,1.55]",1,1.5,1.55,1.525,0.05,0.0135786543553534,"(400,450]",400,450,425
"(1.55,1.6]",2,1.55,1.6,1.575,0.05,0.0271573087107067,"(400,450]",400,450,425
