"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(1.25,1.3]",2,1.25,1.3,1.275,0.05,0.0287232514720666,"(0,50]",0,50,25
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0143616257360334,"(0,50]",0,50,25
"(1.4,1.45]",1,1.4,1.45,1.425,0.05,0.0143616257360333,"(0,50]",0,50,25
"(1.5,1.55]",3,1.5,1.55,1.525,0.05,0.0430848772080999,"(0,50]",0,50,25
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0143616257360333,"(0,50]",0,50,25
"(1.6,1.65]",1,1.6,1.65,1.625,0.0499999999999998,0.0143616257360334,"(0,50]",0,50,25
"(1.95,2]",1,1.95,2,1.975,0.05,0.0143616257360333,"(0,50]",0,50,25
"(2.65,2.7]",1,2.65,2.7,2.675,0.0500000000000003,0.0143616257360332,"(0,50]",0,50,25
"(2.75,2.8]",1,2.75,2.8,2.775,0.0499999999999998,0.0143616257360334,"(0,50]",0,50,25
"(3.4,3.45]",1,3.4,3.45,3.425,0.0500000000000003,0.0143616257360332,"(0,50]",0,50,25
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.52276534186082,"(50,100]",50,100,75
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.76138267093041,"(50,100]",50,100,75
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.52276534186082,"(50,100]",50,100,75
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,2.28414801279123,"(50,100]",50,100,75
"(0.304,0.354]",150,0.304,0.354,0.329,0.05,2.28414801279123,"(50,100]",50,100,75
"(0.354,0.404]",188,0.354,0.404,0.379,0.05,2.86279884269834,"(50,100]",50,100,75
"(0.404,0.454]",147,0.404,0.454,0.429,0.05,2.2384650525354,"(50,100]",50,100,75
"(0.454,0.504]",107,0.454,0.504,0.479,0.05,1.62935891579108,"(50,100]",50,100,75
"(0.504,0.554]",93,0.504,0.554,0.529,0.05,1.41617176793056,"(50,100]",50,100,75
"(0.554,0.604]",66,0.554,0.604,0.579,0.0499999999999999,1.00502512562814,"(50,100]",50,100,75
"(0.604,0.654]",53,0.604,0.654,0.629,0.05,0.807065631186233,"(50,100]",50,100,75
"(0.654,0.704]",44,0.654,0.704,0.679,0.0499999999999999,0.670016750418761,"(50,100]",50,100,75
"(0.704,0.754]",33,0.704,0.754,0.729,0.05,0.50251256281407,"(50,100]",50,100,75
"(0.754,0.804]",27,0.754,0.804,0.779,0.05,0.411146642302421,"(50,100]",50,100,75
"(0.804,0.854]",17,0.804,0.854,0.829,0.0499999999999999,0.25887010811634,"(50,100]",50,100,75
"(0.854,0.904]",10,0.854,0.904,0.879,0.05,0.152276534186082,"(50,100]",50,100,75
"(0.904,0.954]",9,0.904,0.954,0.929,0.0499999999999999,0.137048880767474,"(50,100]",50,100,75
"(0.954,1]",6,0.954,1,0.977,0.046,0.099310783164836,"(50,100]",50,100,75
"(1,1.05]",8,1,1.05,1.025,0.05,0.121821227348865,"(50,100]",50,100,75
"(1.05,1.1]",2,1.05,1.1,1.075,0.05,0.0304553068372164,"(50,100]",50,100,75
"(1.1,1.15]",2,1.1,1.15,1.125,0.0499999999999998,0.0304553068372165,"(50,100]",50,100,75
"(1.2,1.25]",2,1.2,1.25,1.225,0.05,0.0304553068372164,"(50,100]",50,100,75
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0152276534186082,"(50,100]",50,100,75
"(1.3,1.35]",1,1.3,1.35,1.325,0.05,0.0152276534186082,"(50,100]",50,100,75
"(1.4,1.45]",3,1.4,1.45,1.425,0.05,0.0456829602558245,"(50,100]",50,100,75
"(1.45,1.5]",1,1.45,1.5,1.475,0.05,0.0152276534186082,"(50,100]",50,100,75
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0152276534186082,"(50,100]",50,100,75
"(1.7,1.75]",1,1.7,1.75,1.725,0.05,0.0152276534186082,"(50,100]",50,100,75
"(2,2.05]",1,2,2.05,2.025,0.0499999999999998,0.0152276534186082,"(50,100]",50,100,75
"(2.1,2.15]",1,2.1,2.15,2.125,0.0499999999999998,0.0152276534186082,"(50,100]",50,100,75
"(2.65,2.7]",1,2.65,2.7,2.675,0.0500000000000003,0.0152276534186081,"(50,100]",50,100,75
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.5500271254747,"(100,150]",100,150,125
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.775013562737348,"(100,150]",100,150,125
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.5500271254747,"(100,150]",100,150,125
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,2.32504068821204,"(100,150]",100,150,125
"(0.304,0.354]",150,0.304,0.354,0.329,0.05,2.32504068821204,"(100,150]",100,150,125
"(0.354,0.404]",186,0.354,0.404,0.379,0.05,2.88305045338293,"(100,150]",100,150,125
"(0.404,0.454]",132,0.404,0.454,0.429,0.05,2.0460358056266,"(100,150]",100,150,125
"(0.454,0.504]",88,0.454,0.504,0.479,0.05,1.36402387041773,"(100,150]",100,150,125
"(0.504,0.554]",74,0.504,0.554,0.529,0.05,1.14702007285127,"(100,150]",100,150,125
"(0.554,0.604]",50,0.554,0.604,0.579,0.0499999999999999,0.775013562737349,"(100,150]",100,150,125
"(0.604,0.654]",36,0.604,0.654,0.629,0.05,0.55800976517089,"(100,150]",100,150,125
"(0.654,0.704]",25,0.654,0.704,0.679,0.0499999999999999,0.387506781368674,"(100,150]",100,150,125
"(0.704,0.754]",15,0.704,0.754,0.729,0.05,0.232504068821204,"(100,150]",100,150,125
"(0.754,0.804]",12,0.754,0.804,0.779,0.05,0.186003255056963,"(100,150]",100,150,125
"(0.804,0.854]",8,0.804,0.854,0.829,0.0499999999999999,0.124002170037976,"(100,150]",100,150,125
"(0.854,0.904]",8,0.854,0.904,0.879,0.05,0.124002170037976,"(100,150]",100,150,125
"(0.904,0.954]",3,0.904,0.954,0.929,0.0499999999999999,0.0465008137642409,"(100,150]",100,150,125
"(0.954,1]",2,0.954,1,0.977,0.046,0.0336962418581455,"(100,150]",100,150,125
"(1,1.05]",3,1,1.05,1.025,0.05,0.0465008137642408,"(100,150]",100,150,125
"(1.05,1.1]",3,1.05,1.1,1.075,0.05,0.0465008137642408,"(100,150]",100,150,125
"(1.1,1.15]",1,1.1,1.15,1.125,0.0499999999999998,0.015500271254747,"(100,150]",100,150,125
"(1.15,1.2]",4,1.15,1.2,1.175,0.05,0.0620010850189878,"(100,150]",100,150,125
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0155002712547469,"(100,150]",100,150,125
"(1.3,1.35]",8,1.3,1.35,1.325,0.05,0.124002170037976,"(100,150]",100,150,125
"(1.35,1.4]",2,1.35,1.4,1.375,0.0499999999999998,0.031000542509494,"(100,150]",100,150,125
"(1.4,1.45]",3,1.4,1.45,1.425,0.05,0.0465008137642408,"(100,150]",100,150,125
"(1.45,1.5]",2,1.45,1.5,1.475,0.05,0.0310005425094939,"(100,150]",100,150,125
"(1.5,1.55]",2,1.5,1.55,1.525,0.05,0.0310005425094939,"(100,150]",100,150,125
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0155002712547469,"(100,150]",100,150,125
"(1.6,1.65]",1,1.6,1.65,1.625,0.0499999999999998,0.015500271254747,"(100,150]",100,150,125
"(1.65,1.7]",2,1.65,1.7,1.675,0.05,0.0310005425094939,"(100,150]",100,150,125
"(1.7,1.75]",3,1.7,1.75,1.725,0.05,0.0465008137642408,"(100,150]",100,150,125
"(1.75,1.8]",4,1.75,1.8,1.775,0.05,0.0620010850189878,"(100,150]",100,150,125
"(1.8,1.85]",3,1.8,1.85,1.825,0.05,0.0465008137642408,"(100,150]",100,150,125
"(1.9,1.95]",1,1.9,1.95,1.925,0.05,0.0155002712547469,"(100,150]",100,150,125
"(2,2.05]",1,2,2.05,2.025,0.0499999999999998,0.015500271254747,"(100,150]",100,150,125
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.46627565982405,"(150,200]",150,200,175
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.733137829912024,"(150,200]",150,200,175
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.46627565982405,"(150,200]",150,200,175
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,2.19941348973607,"(150,200]",150,200,175
"(0.304,0.354]",150,0.304,0.354,0.329,0.05,2.19941348973607,"(150,200]",150,200,175
"(0.354,0.404]",181,0.354,0.404,0.379,0.05,2.65395894428152,"(150,200]",150,200,175
"(0.404,0.454]",133,0.404,0.454,0.429,0.05,1.95014662756598,"(150,200]",150,200,175
"(0.454,0.504]",75,0.454,0.504,0.479,0.05,1.09970674486804,"(150,200]",150,200,175
"(0.504,0.554]",82,0.504,0.554,0.529,0.05,1.20234604105572,"(150,200]",150,200,175
"(0.554,0.604]",42,0.554,0.604,0.579,0.0499999999999999,0.6158357771261,"(150,200]",150,200,175
"(0.604,0.654]",30,0.604,0.654,0.629,0.05,0.439882697947214,"(150,200]",150,200,175
"(0.654,0.704]",21,0.654,0.704,0.679,0.0499999999999999,0.30791788856305,"(150,200]",150,200,175
"(0.704,0.754]",10,0.704,0.754,0.729,0.05,0.146627565982405,"(150,200]",150,200,175
"(0.754,0.804]",9,0.754,0.804,0.779,0.05,0.131964809384164,"(150,200]",150,200,175
"(0.804,0.854]",5,0.804,0.854,0.829,0.0499999999999999,0.0733137829912024,"(150,200]",150,200,175
"(0.904,0.954]",4,0.904,0.954,0.929,0.0499999999999999,0.058651026392962,"(150,200]",150,200,175
"(1,1.05]",4,1,1.05,1.025,0.05,0.0586510263929618,"(150,200]",150,200,175
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0146627565982405,"(150,200]",150,200,175
"(1.1,1.15]",3,1.1,1.15,1.125,0.0499999999999998,0.0439882697947216,"(150,200]",150,200,175
"(1.15,1.2]",2,1.15,1.2,1.175,0.05,0.0293255131964809,"(150,200]",150,200,175
"(1.2,1.25]",2,1.2,1.25,1.225,0.05,0.0293255131964809,"(150,200]",150,200,175
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0146627565982405,"(150,200]",150,200,175
"(1.3,1.35]",1,1.3,1.35,1.325,0.05,0.0146627565982405,"(150,200]",150,200,175
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0146627565982405,"(150,200]",150,200,175
"(1.4,1.45]",1,1.4,1.45,1.425,0.05,0.0146627565982405,"(150,200]",150,200,175
"(1.45,1.5]",1,1.45,1.5,1.475,0.05,0.0146627565982405,"(150,200]",150,200,175
"(1.7,1.75]",1,1.7,1.75,1.725,0.05,0.0146627565982405,"(150,200]",150,200,175
"(2.55,2.6]",1,2.55,2.6,2.575,0.0500000000000003,0.0146627565982404,"(150,200]",150,200,175
"(4.45,4.5]",1,4.45,4.5,4.475,0.0499999999999998,0.0146627565982405,"(150,200]",150,200,175
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,2.000200020002,"(200,250]",200,250,225
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,1.000100010001,"(200,250]",200,250,225
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,2.000200020002,"(200,250]",200,250,225
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,3.000300030003,"(200,250]",200,250,225
"(0.304,0.354]",145,0.304,0.354,0.329,0.05,2.9002900290029,"(200,250]",200,250,225
"(0.354,0.404]",153,0.354,0.404,0.379,0.05,3.06030603060306,"(200,250]",200,250,225
"(0.404,0.454]",98,0.404,0.454,0.429,0.05,1.96019601960196,"(200,250]",200,250,225
"(0.454,0.504]",63,0.454,0.504,0.479,0.05,1.26012601260126,"(200,250]",200,250,225
"(0.504,0.554]",40,0.504,0.554,0.529,0.05,0.800080008000799,"(200,250]",200,250,225
"(0.554,0.604]",26,0.554,0.604,0.579,0.0499999999999999,0.520052005200521,"(200,250]",200,250,225
"(0.604,0.654]",23,0.604,0.654,0.629,0.05,0.46004600460046,"(200,250]",200,250,225
"(0.654,0.704]",7,0.654,0.704,0.679,0.0499999999999999,0.14001400140014,"(200,250]",200,250,225
"(0.704,0.754]",10,0.704,0.754,0.729,0.05,0.2000200020002,"(200,250]",200,250,225
"(0.754,0.804]",7,0.754,0.804,0.779,0.05,0.14001400140014,"(200,250]",200,250,225
"(0.804,0.854]",1,0.804,0.854,0.829,0.0499999999999999,0.02000200020002,"(200,250]",200,250,225
"(0.854,0.904]",1,0.854,0.904,0.879,0.05,0.02000200020002,"(200,250]",200,250,225
"(0.904,0.954]",1,0.904,0.954,0.929,0.0499999999999999,0.02000200020002,"(200,250]",200,250,225
"(0.954,1]",1,0.954,1,0.977,0.046,0.0217413045652391,"(200,250]",200,250,225
"(1,1.05]",2,1,1.05,1.025,0.05,0.04000400040004,"(200,250]",200,250,225
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.02000200020002,"(200,250]",200,250,225
"(1.3,1.35]",2,1.3,1.35,1.325,0.05,0.04000400040004,"(200,250]",200,250,225
"(1.45,1.5]",1,1.45,1.5,1.475,0.05,0.02000200020002,"(200,250]",200,250,225
"(3.55,3.6]",1,3.55,3.6,3.575,0.0500000000000003,0.0200020002000199,"(200,250]",200,250,225
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.26790921770001,"(250,300]",250,300,275
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.633954608850006,"(250,300]",250,300,275
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.26790921770001,"(250,300]",250,300,275
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.90186382655002,"(250,300]",250,300,275
"(0.304,0.354]",147,0.304,0.354,0.329,0.05,1.86382655001902,"(250,300]",250,300,275
"(0.354,0.404]",173,0.354,0.404,0.379,0.05,2.19348294662102,"(250,300]",250,300,275
"(0.404,0.454]",130,0.404,0.454,0.429,0.05,1.64828198301002,"(250,300]",250,300,275
"(0.454,0.504]",82,0.454,0.504,0.479,0.05,1.03968555851401,"(250,300]",250,300,275
"(0.504,0.554]",81,0.504,0.554,0.529,0.05,1.02700646633701,"(250,300]",250,300,275
"(0.554,0.604]",47,0.554,0.604,0.579,0.0499999999999999,0.595917332319007,"(250,300]",250,300,275
"(0.604,0.654]",33,0.604,0.654,0.629,0.05,0.418410041841004,"(250,300]",250,300,275
"(0.654,0.704]",22,0.654,0.704,0.679,0.0499999999999999,0.278940027894003,"(250,300]",250,300,275
"(0.704,0.754]",14,0.704,0.754,0.729,0.05,0.177507290478002,"(250,300]",250,300,275
"(0.754,0.804]",12,0.754,0.804,0.779,0.05,0.152149106124001,"(250,300]",250,300,275
"(0.804,0.854]",7,0.804,0.854,0.829,0.0499999999999999,0.088753645239001,"(250,300]",250,300,275
"(0.854,0.904]",9,0.854,0.904,0.879,0.05,0.114111829593001,"(250,300]",250,300,275
"(0.904,0.954]",6,0.904,0.954,0.929,0.0499999999999999,0.0760745530620009,"(250,300]",250,300,275
"(0.954,1]",7,0.954,1,0.977,0.046,0.096471353520653,"(250,300]",250,300,275
"(1,1.05]",2,1,1.05,1.025,0.05,0.0253581843540002,"(250,300]",250,300,275
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0126790921770001,"(250,300]",250,300,275
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0126790921770001,"(250,300]",250,300,275
"(1.2,1.25]",2,1.2,1.25,1.225,0.05,0.0253581843540002,"(250,300]",250,300,275
"(1.25,1.3]",2,1.25,1.3,1.275,0.05,0.0253581843540002,"(250,300]",250,300,275
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0126790921770002,"(250,300]",250,300,275
"(1.45,1.5]",3,1.45,1.5,1.475,0.05,0.0380372765310003,"(250,300]",250,300,275
"(1.65,1.7]",1,1.65,1.7,1.675,0.05,0.0126790921770001,"(250,300]",250,300,275
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.38264777048047,"(300,350]",300,350,325
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.691323885240235,"(300,350]",300,350,325
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.38264777048047,"(300,350]",300,350,325
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,2.07397165572071,"(300,350]",300,350,325
"(0.304,0.354]",146,0.304,0.354,0.329,0.05,2.01866574490149,"(300,350]",300,350,325
"(0.354,0.404]",168,0.354,0.404,0.379,0.05,2.32284825440719,"(300,350]",300,350,325
"(0.404,0.454]",121,0.404,0.454,0.429,0.05,1.67300380228137,"(300,350]",300,350,325
"(0.454,0.504]",66,0.454,0.504,0.479,0.05,0.91254752851711,"(300,350]",300,350,325
"(0.504,0.554]",45,0.504,0.554,0.529,0.05,0.622191496716211,"(300,350]",300,350,325
"(0.554,0.604]",41,0.554,0.604,0.579,0.0499999999999999,0.566885585896993,"(300,350]",300,350,325
"(0.604,0.654]",28,0.604,0.654,0.629,0.05,0.387141375734531,"(300,350]",300,350,325
"(0.654,0.704]",18,0.654,0.704,0.679,0.0499999999999999,0.248876598686485,"(300,350]",300,350,325
"(0.704,0.754]",11,0.704,0.754,0.729,0.05,0.152091254752852,"(300,350]",300,350,325
"(0.754,0.804]",3,0.754,0.804,0.779,0.05,0.0414794331144141,"(300,350]",300,350,325
"(0.804,0.854]",4,0.804,0.854,0.829,0.0499999999999999,0.0553059108192189,"(300,350]",300,350,325
"(0.854,0.904]",6,0.854,0.904,0.879,0.05,0.0829588662288281,"(300,350]",300,350,325
"(0.904,0.954]",5,0.904,0.954,0.929,0.0499999999999999,0.0691323885240236,"(300,350]",300,350,325
"(0.954,1]",3,0.954,1,0.977,0.046,0.0450863403417544,"(300,350]",300,350,325
"(1,1.05]",3,1,1.05,1.025,0.05,0.0414794331144141,"(300,350]",300,350,325
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0138264777048047,"(300,350]",300,350,325
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0138264777048047,"(300,350]",300,350,325
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0138264777048047,"(300,350]",300,350,325
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0138264777048047,"(300,350]",300,350,325
"(1.3,1.35]",1,1.3,1.35,1.325,0.05,0.0138264777048047,"(300,350]",300,350,325
"(1.4,1.45]",2,1.4,1.45,1.425,0.05,0.0276529554096094,"(300,350]",300,350,325
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0138264777048047,"(300,350]",300,350,325
"(1.75,1.8]",1,1.75,1.8,1.775,0.05,0.0138264777048047,"(300,350]",300,350,325
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.65289256198347,"(350,400]",350,400,375
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.826446280991736,"(350,400]",350,400,375
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.65289256198347,"(350,400]",350,400,375
"(0.254,0.304]",146,0.254,0.304,0.279,0.05,2.41322314049587,"(350,400]",350,400,375
"(0.304,0.354]",141,0.304,0.354,0.329,0.05,2.33057851239669,"(350,400]",350,400,375
"(0.354,0.404]",139,0.354,0.404,0.379,0.05,2.29752066115702,"(350,400]",350,400,375
"(0.404,0.454]",96,0.404,0.454,0.429,0.05,1.58677685950413,"(350,400]",350,400,375
"(0.454,0.504]",63,0.454,0.504,0.479,0.05,1.04132231404959,"(350,400]",350,400,375
"(0.504,0.554]",36,0.504,0.554,0.529,0.05,0.595041322314049,"(350,400]",350,400,375
"(0.554,0.604]",17,0.554,0.604,0.579,0.0499999999999999,0.28099173553719,"(350,400]",350,400,375
"(0.604,0.654]",28,0.604,0.654,0.629,0.05,0.462809917355371,"(350,400]",350,400,375
"(0.654,0.704]",10,0.654,0.704,0.679,0.0499999999999999,0.165289256198347,"(350,400]",350,400,375
"(0.704,0.754]",5,0.704,0.754,0.729,0.05,0.0826446280991735,"(350,400]",350,400,375
"(0.754,0.804]",5,0.754,0.804,0.779,0.05,0.0826446280991735,"(350,400]",350,400,375
"(0.804,0.854]",7,0.804,0.854,0.829,0.0499999999999999,0.115702479338843,"(350,400]",350,400,375
"(0.854,0.904]",6,0.854,0.904,0.879,0.05,0.0991735537190082,"(350,400]",350,400,375
"(0.904,0.954]",3,0.904,0.954,0.929,0.0499999999999999,0.0495867768595042,"(350,400]",350,400,375
"(0.954,1]",6,0.954,1,0.977,0.046,0.107797340998922,"(350,400]",350,400,375
"(1,1.05]",1,1,1.05,1.025,0.05,0.0165289256198347,"(350,400]",350,400,375
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0165289256198347,"(350,400]",350,400,375
"(1.45,1.5]",1,1.45,1.5,1.475,0.05,0.0165289256198347,"(350,400]",350,400,375
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.40726146918097,"(400,450]",400,450,425
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.703630734590487,"(400,450]",400,450,425
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.40726146918097,"(400,450]",400,450,425
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,2.11089220377146,"(400,450]",400,450,425
"(0.304,0.354]",140,0.304,0.354,0.329,0.05,1.97016605685336,"(400,450]",400,450,425
"(0.354,0.404]",144,0.354,0.404,0.379,0.05,2.0264565156206,"(400,450]",400,450,425
"(0.404,0.454]",93,0.404,0.454,0.429,0.05,1.30875316633831,"(400,450]",400,450,425
"(0.454,0.504]",62,0.454,0.504,0.479,0.05,0.872502110892204,"(400,450]",400,450,425
"(0.504,0.554]",44,0.504,0.554,0.529,0.05,0.619195046439628,"(400,450]",400,450,425
"(0.554,0.604]",30,0.554,0.604,0.579,0.0499999999999999,0.422178440754293,"(400,450]",400,450,425
"(0.604,0.654]",22,0.604,0.654,0.629,0.05,0.309597523219814,"(400,450]",400,450,425
"(0.654,0.704]",10,0.654,0.704,0.679,0.0499999999999999,0.140726146918098,"(400,450]",400,450,425
"(0.704,0.754]",8,0.704,0.754,0.729,0.05,0.112580917534478,"(400,450]",400,450,425
"(0.754,0.804]",7,0.754,0.804,0.779,0.05,0.0985083028426681,"(400,450]",400,450,425
"(0.804,0.854]",2,0.804,0.854,0.829,0.0499999999999999,0.0281452293836195,"(400,450]",400,450,425
"(0.854,0.904]",5,0.854,0.904,0.879,0.05,0.0703630734590486,"(400,450]",400,450,425
"(0.904,0.954]",3,0.904,0.954,0.929,0.0499999999999999,0.0422178440754293,"(400,450]",400,450,425
"(0.954,1]",1,0.954,1,0.977,0.046,0.0152963203171845,"(400,450]",400,450,425
"(1,1.05]",2,1,1.05,1.025,0.05,0.0281452293836194,"(400,450]",400,450,425
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0140726146918097,"(400,450]",400,450,425
"(1.1,1.15]",1,1.1,1.15,1.125,0.0499999999999998,0.0140726146918098,"(400,450]",400,450,425
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0140726146918097,"(400,450]",400,450,425
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0140726146918097,"(400,450]",400,450,425
"(1.4,1.45]",1,1.4,1.45,1.425,0.05,0.0140726146918097,"(400,450]",400,450,425
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0140726146918097,"(400,450]",400,450,425
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.50636438954583,"(450,500]",450,500,475
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.753182194772916,"(450,500]",450,500,475
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.50636438954583,"(450,500]",450,500,475
"(0.254,0.304]",149,0.254,0.304,0.279,0.05,2.24448294042329,"(450,500]",450,500,475
"(0.304,0.354]",139,0.304,0.354,0.329,0.05,2.09384650146871,"(450,500]",450,500,475
"(0.354,0.404]",151,0.354,0.404,0.379,0.05,2.2746102282142,"(450,500]",450,500,475
"(0.404,0.454]",88,0.404,0.454,0.429,0.05,1.32560066280033,"(450,500]",450,500,475
"(0.454,0.504]",56,0.454,0.504,0.479,0.05,0.843564058145665,"(450,500]",450,500,475
"(0.504,0.554]",30,0.504,0.554,0.529,0.05,0.451909316863749,"(450,500]",450,500,475
"(0.554,0.604]",11,0.554,0.604,0.579,0.0499999999999999,0.165700082850042,"(450,500]",450,500,475
"(0.604,0.654]",20,0.604,0.654,0.629,0.05,0.301272877909166,"(450,500]",450,500,475
"(0.654,0.704]",6,0.654,0.704,0.679,0.0499999999999999,0.09038186337275,"(450,500]",450,500,475
"(0.704,0.754]",4,0.704,0.754,0.729,0.05,0.0602545755818332,"(450,500]",450,500,475
"(0.754,0.804]",5,0.754,0.804,0.779,0.05,0.0753182194772915,"(450,500]",450,500,475
"(0.804,0.854]",4,0.804,0.854,0.829,0.0499999999999999,0.0602545755818333,"(450,500]",450,500,475
"(0.854,0.904]",4,0.854,0.904,0.879,0.05,0.0602545755818332,"(450,500]",450,500,475
"(0.904,0.954]",1,0.904,0.954,0.929,0.0499999999999999,0.0150636438954583,"(450,500]",450,500,475
"(0.954,1]",2,0.954,1,0.977,0.046,0.0327470519466485,"(450,500]",450,500,475
"(1,1.05]",3,1,1.05,1.025,0.05,0.0451909316863749,"(450,500]",450,500,475
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0150636438954583,"(450,500]",450,500,475
