"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.104,0.154]",96,0.104,0.154,0.129,0.05,1.3787160706592,"(0,50]",0,50,25
"(0.154,0.204]",48,0.154,0.204,0.179,0.05,0.689358035329599,"(0,50]",0,50,25
"(0.204,0.254]",96,0.204,0.254,0.229,0.05,1.3787160706592,"(0,50]",0,50,25
"(0.254,0.304]",144,0.254,0.304,0.279,0.05,2.0680741059888,"(0,50]",0,50,25
"(0.304,0.354]",144,0.304,0.354,0.329,0.05,2.0680741059888,"(0,50]",0,50,25
"(0.354,0.404]",190,0.354,0.404,0.379,0.05,2.72870888984633,"(0,50]",0,50,25
"(0.404,0.454]",179,0.404,0.454,0.429,0.05,2.57073100674996,"(0,50]",0,50,25
"(0.454,0.504]",157,0.454,0.504,0.479,0.05,2.25477524055723,"(0,50]",0,50,25
"(0.504,0.554]",157,0.504,0.554,0.529,0.05,2.25477524055723,"(0,50]",0,50,25
"(0.554,0.604]",113,0.554,0.604,0.579,0.0499999999999999,1.62286370817177,"(0,50]",0,50,25
"(0.604,0.654]",86,0.604,0.654,0.629,0.05,1.23509981329886,"(0,50]",0,50,25
"(0.654,0.704]",61,0.654,0.704,0.679,0.0499999999999999,0.876059169898033,"(0,50]",0,50,25
"(0.704,0.754]",45,0.704,0.754,0.729,0.05,0.646273158121499,"(0,50]",0,50,25
"(0.754,0.804]",43,0.754,0.804,0.779,0.05,0.617549906649432,"(0,50]",0,50,25
"(0.804,0.854]",31,0.804,0.854,0.829,0.0499999999999999,0.445210397817033,"(0,50]",0,50,25
"(0.854,0.904]",11,0.854,0.904,0.879,0.05,0.157977883096366,"(0,50]",0,50,25
"(0.904,0.954]",7,0.904,0.954,0.929,0.0499999999999999,0.100531380152233,"(0,50]",0,50,25
"(0.954,1]",5,0.954,1,0.977,0.046,0.0780523137827897,"(0,50]",0,50,25
"(1,1.05]",3,1,1.05,1.025,0.05,0.0430848772080999,"(0,50]",0,50,25
"(1.05,1.1]",7,1.05,1.1,1.075,0.05,0.100531380152233,"(0,50]",0,50,25
"(1.1,1.15]",4,1.1,1.15,1.125,0.0499999999999998,0.0574465029441335,"(0,50]",0,50,25
"(1.15,1.2]",3,1.15,1.2,1.175,0.05,0.0430848772080999,"(0,50]",0,50,25
"(1.2,1.25]",3,1.2,1.25,1.225,0.05,0.0430848772080999,"(0,50]",0,50,25
