"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s"
"(0.1038,0.1538]",8053005,0.1038,0.1538,0.1288,0.05,2023.41384604174
"(0.1538,0.2038]",325161,0.1538,0.2038,0.1788,0.05,81.7005912193994
"(0.2038,0.2538]",287143,0.2038,0.2538,0.2288,0.05,72.1481139020731
"(0.2538,0.3038]",115022,0.2538,0.3038,0.2788,0.05,28.9006535323663
"(0.3038,0.3538]",37356,0.3038,0.3538,0.3288,0.05,9.3861418976811
"(0.3538,0.4038]",19112,0.3538,0.4038,0.3788,0.05,4.80211864087379
"(0.4038,0.4538]",8063,0.4038,0.4538,0.4288,0.05,2.02592520936403
"(0.4538,0.5038]",3997,0.4538,0.5038,0.4788,0.05,1.00429406695126
"(0.5038,0.5538]",2632,0.5038,0.5538,0.5288,0.0499999999999999,0.661321487169309
"(0.5538,0.6038]",1437,0.5538,0.6038,0.5788,0.05,0.361063441133091
"(0.6038,0.6538]",1019,0.6038,0.6538,0.6288,0.05,0.256035940511217
"(0.6538,0.7038]",648,0.6538,0.7038,0.6788,0.0499999999999999,0.162817752160225
"(0.7038,0.7538]",457,0.7038,0.7538,0.7288,0.05,0.114826717187072
"(0.7538,0.8038]",304,0.7538,0.8038,0.7788,0.0499999999999999,0.076383636815908
"(0.8038,0.8538]",244,0.8038,0.8538,0.8288,0.05,0.0613079190232944
"(0.8538,0.9038]",202,0.8538,0.9038,0.8788,0.05,0.0507549165684651
"(0.9038,0.9538]",146,0.9038,0.9538,0.9288,0.0499999999999999,0.0366842466286927
"(0.9538,1.004]",140,0.9538,1.004,0.9789,0.0502,0.0350365287344933
"(1.004,1.054]",104,1.004,1.054,1.029,0.05,0.0261312441738632
"(1.054,1.104]",90,1.054,1.104,1.079,0.05,0.0226135766889201
"(1.104,1.154]",78,1.104,1.154,1.129,0.0499999999999998,0.0195984331303975
"(1.154,1.204]",64,1.154,1.204,1.179,0.05,0.0160807656454543
"(1.204,1.254]",46,1.204,1.254,1.229,0.05,0.0115580503076703
"(1.254,1.304]",38,1.254,1.304,1.279,0.05,0.00954795460198848
"(1.304,1.354]",35,1.304,1.354,1.329,0.05,0.00879416871235781
"(1.354,1.404]",36,1.354,1.404,1.379,0.0499999999999998,0.00904543067556807
"(1.404,1.454]",28,1.404,1.454,1.429,0.05,0.00703533496988625
"(1.454,1.504]",24,1.454,1.504,1.479,0.05,0.00603028711704535
"(1.504,1.554]",24,1.504,1.554,1.529,0.05,0.00603028711704535
"(1.554,1.604]",26,1.554,1.604,1.579,0.05,0.0065328110434658
"(1.604,1.654]",20,1.604,1.654,1.629,0.0499999999999998,0.00502523926420448
"(1.654,1.704]",5,1.654,1.704,1.679,0.05,0.00125630981605112
"(1.704,1.754]",13,1.704,1.754,1.729,0.05,0.0032664055217329
"(1.754,1.804]",10,1.754,1.804,1.779,0.05,0.00251261963210223
"(1.804,1.854]",12,1.804,1.854,1.829,0.05,0.00301514355852268
"(1.854,1.904]",4,1.854,1.904,1.879,0.0499999999999998,0.0010050478528409
"(1.904,1.954]",7,1.904,1.954,1.929,0.05,0.00175883374247156
"(1.954,2.004]",6,1.954,2.004,1.979,0.05,0.00150757177926134
"(2.004,2.054]",4,2.004,2.054,2.029,0.0499999999999998,0.0010050478528409
"(2.054,2.104]",8,2.054,2.104,2.079,0.0500000000000003,0.00201009570568178
"(2.104,2.154]",3,2.104,2.154,2.129,0.0499999999999998,0.000753785889630673
"(2.154,2.204]",2,2.154,2.204,2.179,0.0500000000000003,0.000502523926420444
"(2.204,2.254]",5,2.204,2.254,2.229,0.0499999999999998,0.00125630981605112
"(2.254,2.304]",2,2.254,2.304,2.279,0.0499999999999998,0.000502523926420448
"(2.304,2.354]",2,2.304,2.354,2.329,0.0500000000000003,0.000502523926420444
"(2.354,2.404]",2,2.354,2.404,2.379,0.0499999999999998,0.000502523926420448
"(2.404,2.454]",3,2.404,2.454,2.429,0.0500000000000003,0.000753785889630666
"(2.454,2.504]",4,2.454,2.504,2.479,0.0499999999999998,0.0010050478528409
"(2.504,2.554]",4,2.504,2.554,2.529,0.0499999999999998,0.0010050478528409
"(2.554,2.604]",1,2.554,2.604,2.579,0.0500000000000003,0.000251261963210222
"(2.604,2.654]",2,2.604,2.654,2.629,0.0499999999999998,0.000502523926420448
"(2.654,2.704]",4,2.654,2.704,2.679,0.0500000000000003,0.00100504785284089
"(2.704,2.754]",1,2.704,2.754,2.729,0.0499999999999998,0.000251261963210224
"(2.754,2.804]",1,2.754,2.804,2.779,0.0499999999999998,0.000251261963210224
"(2.804,2.854]",1,2.804,2.854,2.829,0.0500000000000003,0.000251261963210222
"(2.854,2.904]",2,2.854,2.904,2.879,0.0499999999999998,0.000502523926420448
"(2.904,2.954]",1,2.904,2.954,2.929,0.0500000000000003,0.000251261963210222
