"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s"
"(2.954,3.004]",1,2.954,3.004,2.979,0.0499999999999998,0.000251261963210224
"(3.004,3.054]",2,3.004,3.054,3.029,0.0499999999999998,0.000502523926420448
"(3.054,3.104]",2,3.054,3.104,3.079,0.0500000000000003,0.000502523926420444
"(3.104,3.154]",1,3.104,3.154,3.129,0.0499999999999998,0.000251261963210224
"(3.154,3.204]",1,3.154,3.204,3.179,0.0500000000000003,0.000251261963210222
"(3.254,3.304]",2,3.254,3.304,3.279,0.0499999999999998,0.000502523926420448
"(3.404,3.454]",1,3.404,3.454,3.429,0.0500000000000003,0.000251261963210222
"(3.604,3.654]",1,3.604,3.654,3.629,0.0499999999999998,0.000251261963210224
"(3.654,3.704]",1,3.654,3.704,3.679,0.0500000000000003,0.000251261963210222
"(3.754,3.804]",2,3.754,3.804,3.779,0.0499999999999998,0.000502523926420448
"(3.904,3.954]",1,3.904,3.954,3.929,0.0500000000000003,0.000251261963210222
"(4.354,4.404]",1,4.354,4.404,4.379,0.0499999999999998,0.000251261963210224
"(4.604,4.654]",1,4.604,4.654,4.629,0.0499999999999998,0.000251261963210224
"(4.804,4.854]",1,4.804,4.854,4.829,0.0499999999999998,0.000251261963210224
"(5.104,5.154]",1,5.104,5.154,5.129,0.0499999999999998,0.000251261963210224
"(7.104,7.154]",1,7.104,7.154,7.129,0.0499999999999998,0.000251261963210224
"(23,23.05]",1,23,23.05,23.025,0.0500000000000007,0.00025126196321022
