"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.104,0.154]",96,0.104,0.154,0.129,0.05,1.06106659298149,"(0,50]",0,50,25
"(0.154,0.204]",48,0.154,0.204,0.179,0.05,0.530533296490743,"(0,50]",0,50,25
"(0.204,0.254]",96,0.204,0.254,0.229,0.05,1.06106659298149,"(0,50]",0,50,25
"(0.254,0.304]",144,0.254,0.304,0.279,0.05,1.59159988947223,"(0,50]",0,50,25
"(0.304,0.354]",144,0.304,0.354,0.329,0.05,1.59159988947223,"(0,50]",0,50,25
"(0.354,0.404]",184,0.354,0.404,0.379,0.05,2.03371096988118,"(0,50]",0,50,25
"(0.404,0.454]",152,0.404,0.454,0.429,0.05,1.68002210555402,"(0,50]",0,50,25
"(0.454,0.504]",116,0.454,0.504,0.479,0.05,1.28212213318596,"(0,50]",0,50,25
"(0.504,0.554]",102,0.504,0.554,0.529,0.05,1.12738325504283,"(0,50]",0,50,25
"(0.554,0.604]",63,0.554,0.604,0.579,0.0499999999999999,0.696324951644101,"(0,50]",0,50,25
"(0.604,0.654]",44,0.604,0.654,0.629,0.05,0.486322188449848,"(0,50]",0,50,25
"(0.654,0.704]",28,0.654,0.704,0.679,0.0499999999999999,0.309477756286267,"(0,50]",0,50,25
"(0.704,0.754]",32,0.704,0.754,0.729,0.05,0.353688864327162,"(0,50]",0,50,25
"(0.754,0.804]",19,0.754,0.804,0.779,0.05,0.210002763194252,"(0,50]",0,50,25
"(0.804,0.854]",10,0.804,0.854,0.829,0.0499999999999999,0.110527770102238,"(0,50]",0,50,25
"(0.854,0.904]",6,0.854,0.904,0.879,0.05,0.0663166620613428,"(0,50]",0,50,25
"(0.904,0.954]",9,0.904,0.954,0.929,0.0499999999999999,0.0994749930920145,"(0,50]",0,50,25
"(0.954,1]",5,0.954,1,0.977,0.046,0.0600694402729555,"(0,50]",0,50,25
"(1,1.05]",4,1,1.05,1.025,0.05,0.0442111080408952,"(0,50]",0,50,25
"(1.05,1.1]",5,1.05,1.1,1.075,0.05,0.055263885051119,"(0,50]",0,50,25
"(1.1,1.15]",4,1.1,1.15,1.125,0.0499999999999998,0.0442111080408954,"(0,50]",0,50,25
"(1.15,1.2]",4,1.15,1.2,1.175,0.05,0.0442111080408952,"(0,50]",0,50,25
"(1.2,1.25]",4,1.2,1.25,1.225,0.05,0.0442111080408952,"(0,50]",0,50,25
"(1.25,1.3]",3,1.25,1.3,1.275,0.05,0.0331583310306714,"(0,50]",0,50,25
"(1.3,1.35]",6,1.3,1.35,1.325,0.05,0.0663166620613428,"(0,50]",0,50,25
"(1.4,1.45]",1,1.4,1.45,1.425,0.05,0.0110527770102238,"(0,50]",0,50,25
"(1.45,1.5]",1,1.45,1.5,1.475,0.05,0.0110527770102238,"(0,50]",0,50,25
"(1.5,1.55]",3,1.5,1.55,1.525,0.05,0.0331583310306714,"(0,50]",0,50,25
"(1.55,1.6]",2,1.55,1.6,1.575,0.05,0.0221055540204476,"(0,50]",0,50,25
"(1.6,1.65]",2,1.6,1.65,1.625,0.0499999999999998,0.0221055540204477,"(0,50]",0,50,25
"(1.65,1.7]",2,1.65,1.7,1.675,0.05,0.0221055540204476,"(0,50]",0,50,25
"(1.75,1.8]",1,1.75,1.8,1.775,0.05,0.0110527770102238,"(0,50]",0,50,25
"(1.85,1.9]",1,1.85,1.9,1.875,0.0499999999999998,0.0110527770102239,"(0,50]",0,50,25
"(1.9,1.95]",2,1.9,1.95,1.925,0.05,0.0221055540204476,"(0,50]",0,50,25
"(2.55,2.6]",1,2.55,2.6,2.575,0.0500000000000003,0.0110527770102238,"(0,50]",0,50,25
"(0.1038,0.1538]",100,0.1038,0.1538,0.1288,0.05,1.15074798619102,"(50,100]",50,100,75
"(0.1538,0.2038]",50,0.1538,0.2038,0.1788,0.05,0.575373993095512,"(50,100]",50,100,75
"(0.2038,0.2538]",100,0.2038,0.2538,0.2288,0.05,1.15074798619102,"(50,100]",50,100,75
"(0.2538,0.3038]",150,0.2538,0.3038,0.2788,0.05,1.72612197928654,"(50,100]",50,100,75
"(0.3038,0.3538]",150,0.3038,0.3538,0.3288,0.05,1.72612197928654,"(50,100]",50,100,75
"(0.3538,0.4038]",196,0.3538,0.4038,0.3788,0.05,2.25546605293441,"(50,100]",50,100,75
"(0.4038,0.4538]",174,0.4038,0.4538,0.4288,0.05,2.00230149597238,"(50,100]",50,100,75
"(0.4538,0.5038]",138,0.4538,0.5038,0.4788,0.05,1.58803222094361,"(50,100]",50,100,75
"(0.5038,0.5538]",135,0.5038,0.5538,0.5288,0.0499999999999999,1.55350978135788,"(50,100]",50,100,75
"(0.5538,0.6038]",90,0.5538,0.6038,0.5788,0.05,1.03567318757192,"(50,100]",50,100,75
"(0.6038,0.6538]",58,0.6038,0.6538,0.6288,0.05,0.667433831990793,"(50,100]",50,100,75
"(0.6538,0.7038]",47,0.6538,0.7038,0.6788,0.0499999999999999,0.540851553509782,"(50,100]",50,100,75
"(0.7038,0.7538]",26,0.7038,0.7538,0.7288,0.05,0.299194476409666,"(50,100]",50,100,75
"(0.7538,0.8038]",16,0.7538,0.8038,0.7788,0.0499999999999999,0.184119677790564,"(50,100]",50,100,75
"(0.8038,0.8538]",13,0.8038,0.8538,0.8288,0.05,0.149597238204833,"(50,100]",50,100,75
"(0.8538,0.9038]",10,0.8538,0.9038,0.8788,0.05,0.115074798619102,"(50,100]",50,100,75
"(0.9038,0.9538]",3,0.9038,0.9538,0.9288,0.0499999999999999,0.0345224395857308,"(50,100]",50,100,75
"(0.9538,1.004]",3,0.9538,1.004,0.9789,0.0502,0.0343848999857876,"(50,100]",50,100,75
"(1.004,1.054]",3,1.004,1.054,1.029,0.05,0.0345224395857307,"(50,100]",50,100,75
"(1.054,1.104]",2,1.054,1.104,1.079,0.05,0.0230149597238205,"(50,100]",50,100,75
"(1.204,1.254]",3,1.204,1.254,1.229,0.05,0.0345224395857307,"(50,100]",50,100,75
"(1.304,1.354]",1,1.304,1.354,1.329,0.05,0.0115074798619102,"(50,100]",50,100,75
"(1.504,1.554]",2,1.504,1.554,1.529,0.05,0.0230149597238205,"(50,100]",50,100,75
"(1.554,1.604]",1,1.554,1.604,1.579,0.05,0.0115074798619102,"(50,100]",50,100,75
"(1.604,1.654]",1,1.604,1.654,1.629,0.0499999999999998,0.0115074798619103,"(50,100]",50,100,75
"(1.654,1.704]",1,1.654,1.704,1.679,0.05,0.0115074798619102,"(50,100]",50,100,75
"(2.004,2.054]",1,2.004,2.054,2.029,0.0499999999999998,0.0115074798619103,"(50,100]",50,100,75
"(2.554,2.604]",1,2.554,2.604,2.579,0.0500000000000003,0.0115074798619102,"(50,100]",50,100,75
"(6.454,6.504]",1,6.454,6.504,6.479,0.0499999999999998,0.0115074798619103,"(50,100]",50,100,75
"(10.4,10.45]",1,10.4,10.45,10.425,0.0499999999999989,0.0115074798619105,"(50,100]",50,100,75
