"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.14495076711701,"(100,150]",100,150,125
"(0.254,0.304]",148,0.254,0.304,0.279,0.05,1.69452713533318,"(100,150]",100,150,125
"(0.304,0.354]",123,0.304,0.354,0.329,0.05,1.40828944355393,"(100,150]",100,150,125
"(0.354,0.404]",123,0.354,0.404,0.379,0.05,1.40828944355393,"(100,150]",100,150,125
"(0.404,0.454]",82,0.404,0.454,0.429,0.05,0.938859629035952,"(100,150]",100,150,125
"(0.454,0.504]",52,0.454,0.504,0.479,0.05,0.595374398900847,"(100,150]",100,150,125
"(0.504,0.554]",46,0.504,0.554,0.529,0.05,0.526677352873826,"(100,150]",100,150,125
"(0.554,0.604]",19,0.554,0.604,0.579,0.0499999999999999,0.217540645752233,"(100,150]",100,150,125
"(0.604,0.654]",18,0.604,0.654,0.629,0.05,0.206091138081062,"(100,150]",100,150,125
"(0.654,0.704]",6,0.654,0.704,0.679,0.0499999999999999,0.0686970460270209,"(100,150]",100,150,125
"(0.704,0.754]",12,0.704,0.754,0.729,0.05,0.137394092054042,"(100,150]",100,150,125
"(0.754,0.804]",8,0.754,0.804,0.779,0.05,0.091596061369361,"(100,150]",100,150,125
"(0.804,0.854]",4,0.804,0.854,0.829,0.0499999999999999,0.0457980306846806,"(100,150]",100,150,125
"(0.854,0.904]",5,0.854,0.904,0.879,0.05,0.0572475383558506,"(100,150]",100,150,125
"(0.904,0.954]",1,0.904,0.954,0.929,0.0499999999999999,0.0114495076711702,"(100,150]",100,150,125
"(0.954,1]",2,0.954,1,0.977,0.046,0.0248902340677611,"(100,150]",100,150,125
"(1,1.05]",1,1,1.05,1.025,0.05,0.0114495076711701,"(100,150]",100,150,125
"(1.1,1.15]",1,1.1,1.15,1.125,0.0499999999999998,0.0114495076711702,"(100,150]",100,150,125
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0114495076711701,"(100,150]",100,150,125
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0114495076711701,"(100,150]",100,150,125
"(1.25,1.3]",2,1.25,1.3,1.275,0.05,0.0228990153423403,"(100,150]",100,150,125
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0114495076711701,"(100,150]",100,150,125
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.1328235627301,"(150,200]",150,200,175
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.566411781365052,"(150,200]",150,200,175
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.1328235627301,"(150,200]",150,200,175
"(0.254,0.304]",142,0.254,0.304,0.279,0.05,1.60860945907675,"(150,200]",150,200,175
"(0.304,0.354]",113,0.304,0.354,0.329,0.05,1.28009062588502,"(150,200]",150,200,175
"(0.354,0.404]",90,0.354,0.404,0.379,0.05,1.01954120645709,"(150,200]",150,200,175
"(0.404,0.454]",65,0.404,0.454,0.429,0.05,0.736335315774568,"(150,200]",150,200,175
"(0.454,0.504]",39,0.454,0.504,0.479,0.05,0.441801189464741,"(150,200]",150,200,175
"(0.504,0.554]",19,0.504,0.554,0.529,0.05,0.21523647691872,"(150,200]",150,200,175
"(0.554,0.604]",11,0.554,0.604,0.579,0.0499999999999999,0.124610591900312,"(150,200]",150,200,175
"(0.604,0.654]",9,0.604,0.654,0.629,0.05,0.101954120645709,"(150,200]",150,200,175
